Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.01917,-0.0051557,0.072981,0,0,0,1.9889,0.0095683,-1.8258E-06,-4.3234E-05,0.0066241,-5.4472E-05,0.014977,0,0,0,0,0,0,package://All_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_robot/meshes/base_link.STL,,Assembly1_defeature-1,base_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rot,-0.003788,-0.0087997,0.010667,0,0,0,0.203,0.00029862,-2.6283E-05,1.9741E-05,0.00026312,3.9872E-05,0.00044847,0,0,0,0,0,0,package://All_robot/meshes/rot.STL,0,0,0,1,0,0,0,0,0,0,package://All_robot/meshes/rot.STL,,rotataing_plata_2-2,rot_co,rot,rot_joint,continuous,-0.092999,-0.0069989,0.1408,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
l1,-0.0010679,0.10179,0.0089633,0,0,0,0.1376,0.00060328,5.3942E-06,7.6062E-07,8.7712E-05,-7.2206E-05,0.0005571,0,0,0,0,0,0,package://All_robot/meshes/l1.STL,0,0,1,1,0,0,0,0,0,0,package://All_robot/meshes/l1.STL,,link_1-2,L1_co,l1,l1_joint,revolute,0,-0.0005,0.0375,1.5708,0,-0.0039085,rot,0,0,1,0,0,-1.57,1.57,,,,,,,,
l2,-0.0011197,0.074655,-0.011196,0,0,0,0.11046,0.00027612,2.8913E-06,-6.4454E-07,7.8927E-05,4.3574E-05,0.0002299,0,0,0,0,0,0,package://All_robot/meshes/l2.STL,0,1,0,1,0,0,0,0,0,0,package://All_robot/meshes/l2.STL,,link_2-2,L2_co,l2,l2_joint,revolute,-0.001789,0.16999,0,0,0,0,l1,0,0,1,0,0,-1.92,1.92,,,,,,,,
l3,-1.0589E-05,0.043229,-0.00099981,0,0,0,0.13434,0.00011138,2.0552E-07,8.7349E-12,4.8295E-05,4.3329E-10,0.000122,0,0,0,0,0,0,package://All_robot/meshes/l3.STL,1,0,0,1,0,0,0,0,0,0,package://All_robot/meshes/l3.STL,,link3-1,L3_co,l3,l3_joint,revolute,-0.001789,0.11999,0,0,0,0,l2,0,0,1,0,0,-1.74,1.74,,,,,,,,
l4,0.0010378,-0.0056914,0.050171,0,0,0,0.10668,8.126E-05,-4.6534E-08,-2.7201E-07,6.8474E-05,-8.97E-08,2.55E-05,0,0,0,0,0,0,package://All_robot/meshes/l4.STL,0.7,0.7,1,1,0,0,0,0,0,0,package://All_robot/meshes/l4.STL,,cam-1,L4_co,l4,l4_joint,continuous,0.010507,0.085905,-0.0013063,-1.5708,0.0039085,0,l3,0,0,-1,0,0,0,0,,,,,,,,
camera,-1.3399E-12,-1.0925E-13,3.2725E-12,0,0,0,3.6262E-07,1.0494E-13,1.2313E-26,-4.0779E-16,1.0494E-13,-3.1502E-24,2.0927E-13,0,0,0,0,0,0,package://All_robot/meshes/camera.STL,0,0,0,1,0,0,0,0,0,0,package://All_robot/meshes/camera.STL,,camera-1,cam_co,Axis_camera_joint,camera_joint,fixed,0.014456,-0.0057379,0.052805,1.5708,0,1.5708,l4,0,0,0,,,,,,,,,,,,
